iter	RMSE
0	8350.119729
1	7427.123565
2	6629.312833
3	5936.944247
4	5308.919959
5	4759.16428
6	4283.007526
7	3844.276457
8	3470.387884
9	3145.15667
10	2866.645084
11	2620.728164
12	2402.79351
13	2224.528199
14	2059.596738
15	1920.728367
16	1804.107827
17	1695.118427
18	1602.574501
19	1520.266476
20	1448.174039
21	1388.027249
22	1342.68824
23	1299.396664
24	1263.028917
25	1226.721284
26	1195.139235
27	1161.889146
28	1140.925369
29	1119.750852
30	1100.720334
31	1081.376718
32	1061.284053
33	1043.130129
34	1030.129287
35	1019.395983
36	1009.425473
37	998.0029537
38	988.7465902
39	979.9833969
40	968.3485696
41	961.479106
42	952.5057296
43	943.6398824
44	934.8104256
45	929.0890074
46	923.3103731
47	915.5773837
48	911.1216468
49	906.193537
50	900.7100564
51	892.5446715
52	885.034454
53	878.6295543
54	874.4813374
55	870.8879042
56	866.3184501
57	862.9846919
58	859.120995
59	855.0333951
60	850.863197
61	846.8044319
62	843.6654851
63	837.8630337
64	834.882171
65	831.369196
66	827.174503
67	823.1689772
68	820.0909456
69	815.2256995
70	811.5008181
71	807.1904918
72	804.5328723
73	800.8795474
74	796.8491078
75	793.3892266
76	790.2806375
77	787.4713019
78	785.6947831
79	782.7164293
80	780.5245302
81	777.5582044
82	774.8465325
83	772.8215882
84	770.0741627
85	767.5730567
86	764.1075625
87	763.0014705
88	761.1534542
89	758.8278025
90	755.5417304
91	753.8446885
92	752.0835973
93	750.4051931
94	748.0974911
95	745.5674684
96	743.0865902
97	740.610074
98	737.8238783
99	735.5635292
100	733.4001291
101	731.1439201
102	729.5603343
103	727.8881539
104	725.749261
105	723.4101724
106	722.0017119
107	720.2846111
108	717.0819387
109	715.1740259
110	712.9990773
111	711.0786702
112	709.6171624
113	707.9580799
114	706.2635961
115	704.1839345
116	702.9243933
117	701.1866986
118	699.5719053
119	697.9086724
120	695.5839551
121	694.5556793
122	693.1962887
123	691.9189074
124	690.0110756
125	688.401797
126	687.4790406
127	686.1752606
128	684.7646241
129	683.7647695
130	682.2541225
131	680.7317646
132	679.7194711
133	678.0674853
134	676.5897298
135	675.6925398
136	674.1401666
137	672.9860222
138	672.2131714
139	671.0792463
140	669.7121397
141	668.0873739
142	666.5287075
143	665.1412987
144	664.2778483
145	663.2179083
146	662.1097608
147	661.5315655
148	659.7636577
149	658.105343
150	656.8552993
151	655.530161
152	654.7659953
153	653.8542524
154	653.1797009
155	652.2594677
156	651.2166404
157	650.2219029
158	649.0550927
159	647.5979409
160	646.4938031
161	645.7417976
162	644.9564491
163	643.9403998
164	642.720952
165	642.0574959
166	641.1519419
167	640.3564779
168	639.5778656
169	638.7384334
170	637.9512496
171	636.9222245
172	636.0586379
173	635.3522898
174	634.2818219
175	633.0896395
176	632.2388598
177	631.489594
178	631.0495307
179	630.0778725
180	629.1236014
181	628.7016503
182	627.8955715
183	627.3878158
184	626.7062079
185	625.7613847
186	625.3523512
187	624.5034154
188	623.6629973
189	622.8870704
190	622.1558274
191	621.259782
192	620.5161537
193	619.9171524
194	619.1415153
195	618.650808
196	617.9144435
197	617.0716636
198	616.2400471
199	615.7764095
200	615.2054644
201	614.5458517
202	613.9974474
203	613.1163608
204	612.3361804
205	611.6224776
206	610.9709321
207	610.3066891
208	609.4763857
209	608.8664333
210	608.0153622
211	607.3643745
212	606.7486902
213	606.1101997
214	605.5927869
215	604.9292102
216	604.3983967
217	604.0383234
218	603.363656
219	602.558295
220	602.0853053
221	601.6015373
222	600.4865061
223	599.5640229
224	598.9980467
225	598.4134965
226	597.611478
227	597.0039812
228	596.3772793
229	595.6827465
230	595.2362703
231	594.3800643
232	593.6330106
233	592.8841767
234	592.271371
235	591.588738
236	590.9062527
237	590.4560687
238	589.7503508
239	589.321217
240	588.9626066
241	588.4556878
242	587.8793853
243	587.0537131
244	586.4529215
245	585.993148
246	585.4221995
247	584.895785
248	584.219108
249	583.6327936
250	583.0894281
251	582.4942987
252	581.8259368
253	581.4973637
254	580.9617468
255	580.4708274
256	579.8875622
257	579.2295125
258	578.9488791
259	578.3539711
260	577.7965674
261	577.288219
262	576.5743165
263	576.0883901
264	575.6135876
265	575.1685631
266	574.8472256
267	574.3670751
268	573.6395614
269	572.9498614
270	572.5045092
271	571.8196725
272	571.3629559
273	571.0786599
274	570.5237774
275	570.0357629
276	569.7191236
277	569.3973512
278	568.7848113
279	568.3582121
280	567.9927841
281	567.6995022
282	567.2252378
283	566.4995992
284	566.0746059
285	565.5283873
286	565.1109719
287	564.6336245
288	564.1699734
289	563.7070462
290	563.449401
291	563.104445
292	562.5508561
293	562.076705
294	561.7727216
295	561.0991928
296	560.5022158
297	560.0320813
298	559.3936406
299	558.9935435
300	558.3327385
301	557.8995744
302	557.4332636
303	556.9733601
304	556.544009
305	556.0690759
306	555.6774367
307	555.1060878
308	554.6134643
309	554.2512777
310	553.9597928
311	553.3523605
312	552.8682465
313	552.537552
314	552.2049966
315	551.8214495
316	551.4945259
317	551.1529589
318	550.5938127
319	550.189598
320	549.7301008
321	549.2982623
322	549.0511941
323	548.7329806
324	548.2433328
325	547.6886823
326	547.3343837
327	546.9177728
328	546.5506911
329	546.1855907
330	545.8489671
331	545.3893556
332	544.9527935
333	544.6490744
334	544.3815755
335	544.0672739
336	543.6155924
337	543.2613997
338	542.7979076
339	542.2838826
340	541.8834632
341	541.4564894
342	541.0360102
343	540.7798707
344	540.3457102
345	540.0698482
346	539.7396549
347	539.308784
348	538.9599052
349	538.6562219
350	538.3902057
351	538.055218
352	537.4926348
353	537.084066
354	536.7741153
355	536.3622403
356	536.0617946
357	535.5872682
358	535.2649482
359	534.8227126
360	534.5141709
361	534.2406923
362	534.0042556
363	533.6043938
364	533.158886
365	532.9618114
366	532.720692
367	532.3663609
368	532.0039867
369	531.682394
370	531.3754543
371	531.069166
372	530.7761664
373	530.3603563
374	530.0408288
375	529.6730344
376	529.2882539
377	528.7977643
378	528.5992891
379	528.4064295
380	528.1102296
381	527.7525313
382	527.2541111
383	526.8673146
384	526.5817711
385	526.3386169
386	526.0499034
387	525.7718078
388	525.5451936
389	525.3265842
390	524.9761158
391	524.6623575
392	524.3937154
393	524.1198245
394	523.8319464
395	523.5067535
396	523.2130593
397	522.892623
398	522.5926971
399	522.2084952
400	521.8514817
401	521.6502125
402	521.3262017
403	521.0697241
404	520.7915522
405	520.3510404
406	520.0939961
407	519.7969808
408	519.4941059
409	519.1719218
410	518.7781661
411	518.4275841
412	518.0961488
413	517.8464198
414	517.5241821
415	517.2642043
416	517.0345525
417	516.6500964
418	516.3349639
419	516.0885533
420	515.755418
421	515.4474925
422	515.2118801
423	514.97616
424	514.6192576
425	514.479465
426	514.2220265
427	514.0198739
428	513.6370715
429	513.3486308
430	512.9691022
431	512.7612128
432	512.4396682
433	512.1206771
434	511.8014929
435	511.5299549
436	511.3029382
437	511.0551198
438	510.7418985
439	510.5711982
440	510.304899
441	510.0178627
442	509.7463593
443	509.4474082
444	509.1307193
445	508.8255185
446	508.5406215
447	508.2290888
448	507.9096476
449	507.6827445
450	507.4156111
451	507.0502242
452	506.6666557
453	506.4903036
454	506.1601052
455	505.8276599
456	505.6522693
457	505.4565746
458	505.0153777
459	504.6883893
460	504.4288083
461	504.1159832
462	503.8962101
463	503.6998722
464	503.4268317
465	503.1966769
466	502.9788043
467	502.7946022
468	502.4566706
469	502.2179111
470	501.8721185
471	501.5454212
472	501.3118508
473	501.1556499
474	500.8026806
475	500.4289868
476	500.1106123
477	499.8811171
478	499.6214849
479	499.3675168
480	499.0245872
481	498.8236218
482	498.4663418
483	498.2262749
484	498.0158975
485	497.7660887
486	497.3693899
487	497.0868929
488	496.8455835
489	496.6005476
490	496.2949466
491	496.0555984
492	495.8453486
493	495.682123
494	495.4187096
495	495.1934363
496	495.0073725
497	494.6249431
498	494.4061573
499	494.1366622
