iter	Passed	Remaining
0	65	32810
1	125	31343
2	184	30616
3	244	30267
4	302	29917
5	358	29546
6	416	29326
7	469	28898
8	527	28764
9	581	28491
10	636	28310
11	692	28159
12	749	28077
13	805	27945
14	860	27812
15	915	27684
16	970	27571
17	1023	27411
18	1077	27289
19	1130	27135
20	1186	27053
21	1238	26904
22	1291	26783
23	1345	26685
24	1399	26597
25	1455	26538
26	1507	26407
27	1563	26350
28	1615	26232
29	1665	26096
30	1720	26022
31	1772	25923
32	1825	25836
33	1878	25751
34	1926	25598
35	1981	25537
36	2030	25411
37	2083	25326
38	2132	25204
39	2183	25109
40	2239	25072
41	2291	24986
42	2347	24945
43	2400	24877
44	2456	24839
45	2511	24787
46	2563	24711
47	2616	24637
48	2668	24563
49	2721	24495
50	2778	24459
51	2836	24434
52	2889	24373
53	2944	24322
54	2995	24235
55	3046	24155
56	3101	24106
57	3153	24033
58	3210	23998
59	3263	23934
60	3316	23869
61	3366	23786
62	3419	23715
63	3478	23699
64	3529	23620
65	3585	23574
66	3640	23525
67	3696	23483
68	3752	23438
69	3808	23394
70	3862	23338
71	3917	23288
72	3974	23250
73	4029	23194
74	4082	23132
75	4135	23073
76	4191	23023
77	4243	22960
78	4296	22896
79	4346	22818
80	4396	22740
81	4451	22691
82	4507	22643
83	4560	22586
84	4616	22540
85	4672	22493
86	4731	22460
87	4782	22392
88	4838	22342
89	4891	22281
90	4942	22212
91	4992	22139
92	5042	22069
93	5097	22018
94	5151	21961
95	5203	21899
96	5256	21840
97	5309	21780
98	5367	21739
99	5420	21682
100	5471	21613
101	5528	21570
102	5581	21511
103	5638	21471
104	5699	21441
105	5756	21398
106	5814	21354
107	5876	21328
108	5934	21289
109	5992	21245
110	6052	21211
111	6108	21160
112	6157	21087
113	6208	21020
114	6262	20965
115	6318	20915
116	6370	20854
117	6427	20809
118	6481	20751
119	6540	20711
120	6598	20667
121	6652	20612
122	6707	20559
123	6762	20505
124	6819	20457
125	6871	20396
126	6924	20336
127	6977	20278
128	7032	20224
129	7082	20157
130	7142	20118
131	7196	20063
132	7247	19999
133	7306	19957
134	7362	19906
135	7413	19841
136	7470	19795
137	7522	19733
138	7576	19677
139	7628	19616
140	7684	19566
141	7738	19510
142	7795	19462
143	7853	19416
144	7906	19357
145	7958	19297
146	8013	19242
147	8061	19173
148	8114	19115
149	8172	19068
150	8224	19007
151	8293	18986
152	8340	18914
153	8391	18854
154	8442	18790
155	8499	18742
156	8557	18696
157	8611	18640
158	8666	18586
159	8728	18548
160	8784	18496
161	8838	18440
162	8892	18384
163	8947	18331
164	9007	18288
165	9057	18224
166	9111	18168
167	9162	18106
168	9214	18046
169	9266	17988
170	9325	17942
171	9383	17894
172	9437	17838
173	9493	17787
174	9549	17733
175	9601	17675
176	9659	17627
177	9712	17569
178	9757	17498
179	9812	17444
180	9865	17386
181	9914	17323
182	9968	17268
183	10018	17205
184	10072	17149
185	10123	17089
186	10172	17026
187	10226	16972
188	10284	16922
189	10334	16860
190	10388	16806
191	10444	16754
192	10503	16706
193	10557	16653
194	10617	16606
195	10666	16544
196	10723	16493
197	10778	16440
198	10835	16389
199	10889	16334
200	10944	16280
201	10999	16226
202	11052	16170
203	11108	16117
204	11164	16065
205	11217	16009
206	11273	15956
207	11327	15902
208	11384	15851
209	11440	15798
210	11495	15745
211	11553	15695
212	11611	15646
213	11668	15594
214	11725	15543
215	11781	15490
216	11838	15439
217	11887	15377
218	11940	15321
219	11995	15267
220	12049	15211
221	12101	15153
222	12163	15108
223	12217	15053
224	12268	14994
225	12326	14944
226	12384	14893
227	12438	14839
228	12493	14785
229	12549	14732
230	12604	14677
231	12659	14623
232	12717	14573
233	12773	14519
234	12830	14468
235	12887	14416
236	12946	14367
237	13000	14311
238	13058	14260
239	13108	14201
240	13160	14143
241	13211	14084
242	13268	14032
243	13328	13983
244	13383	13929
245	13438	13875
246	13496	13824
247	13554	13773
248	13610	13719
249	13669	13669
250	13724	13614
251	13780	13561
252	13841	13513
253	13895	13457
254	13950	13403
255	14004	13348
256	14060	13294
257	14116	13240
258	14163	13179
259	14217	13124
260	14272	13069
261	14329	13016
262	14386	12964
263	14440	12909
264	14494	12853
265	14551	12800
266	14605	12745
267	14657	12688
268	14712	12634
269	14770	12582
270	14823	12525
271	14880	12473
272	14938	12421
273	14985	12359
274	15039	12304
275	15093	12250
276	15146	12193
277	15197	12135
278	15253	12082
279	15308	12028
280	15362	11972
281	15413	11915
282	15470	11862
283	15528	11810
284	15582	11755
285	15640	11702
286	15694	11647
287	15752	11595
288	15807	11540
289	15863	11487
290	15915	11430
291	15970	11376
292	16025	11321
293	16081	11268
294	16128	11208
295	16184	11154
296	16247	11105
297	16301	11049
298	16359	10997
299	16410	10940
300	16468	10887
301	16523	10833
302	16578	10778
303	16633	10724
304	16692	10671
305	16750	10619
306	16802	10563
307	16858	10508
308	16915	10455
309	16965	10398
310	17017	10341
311	17071	10286
312	17129	10234
313	17182	10178
314	17234	10121
315	17286	10065
316	17341	10010
317	17393	9954
318	17446	9899
319	17504	9846
320	17557	9790
321	17614	9737
322	17669	9682
323	17721	9626
324	17774	9570
325	17831	9517
326	17884	9461
327	17937	9406
328	17988	9349
329	18041	9294
330	18094	9238
331	18151	9185
332	18205	9130
333	18256	9073
334	18310	9018
335	18365	8963
336	18420	8909
337	18477	8855
338	18536	8803
339	18590	8748
340	18645	8693
341	18704	8641
342	18760	8587
343	18814	8532
344	18871	8478
345	18926	8424
346	18984	8370
347	19039	8315
348	19093	8261
349	19146	8205
350	19201	8150
351	19255	8095
352	19312	8042
353	19369	7988
354	19425	7934
355	19484	7881
356	19539	7826
357	19595	7772
358	19648	7716
359	19702	7661
360	19757	7607
361	19812	7552
362	19865	7497
363	19920	7442
364	19975	7388
365	20025	7331
366	20079	7276
367	20131	7221
368	20190	7167
369	20245	7113
370	20299	7058
371	20351	7002
372	20404	6947
373	20458	6892
374	20515	6838
375	20572	6784
376	20629	6730
377	20687	6676
378	20739	6621
379	20792	6565
380	20848	6511
381	20906	6458
382	20964	6404
383	21021	6350
384	21079	6296
385	21131	6240
386	21184	6185
387	21236	6130
388	21290	6075
389	21344	6020
390	21403	5966
391	21455	5911
392	21511	5856
393	21565	5801
394	21620	5747
395	21673	5692
396	21736	5639
397	21793	5585
398	21848	5530
399	21908	5477
400	21962	5422
401	22016	5367
402	22075	5313
403	22127	5258
404	22182	5203
405	22254	5152
406	22314	5098
407	22366	5043
408	22420	4988
409	22474	4933
410	22532	4879
411	22590	4825
412	22648	4770
413	22704	4716
414	22754	4660
415	22805	4605
416	22856	4549
417	22917	4495
418	22972	4441
419	23027	4386
420	23078	4330
421	23133	4275
422	23189	4221
423	23240	4165
424	23294	4110
425	23345	4055
426	23398	4000
427	23449	3944
428	23506	3890
429	23562	3835
430	23620	3781
431	23675	3726
432	23730	3671
433	23782	3616
434	23835	3561
435	23890	3506
436	23943	3451
437	23997	3396
438	24047	3341
439	24100	3286
440	24154	3231
441	24207	3176
442	24261	3121
443	24314	3066
444	24367	3011
445	24426	2957
446	24482	2902
447	24535	2847
448	24592	2793
449	24646	2738
450	24701	2683
451	24756	2628
452	24811	2574
453	24858	2518
454	24909	2463
455	24962	2408
456	25012	2353
457	25063	2298
458	25113	2243
459	25164	2188
460	25220	2133
461	25277	2079
462	25334	2024
463	25386	1969
464	25439	1914
465	25491	1859
466	25542	1804
467	25594	1750
468	25653	1695
469	25707	1640
470	25764	1586
471	25820	1531
472	25875	1477
473	25920	1421
474	25972	1366
475	26029	1312
476	26085	1257
477	26136	1202
478	26193	1148
479	26250	1093
480	26307	1039
481	26360	984
482	26416	929
483	26470	875
484	26523	820
485	26578	765
486	26633	710
487	26690	656
488	26743	601
489	26795	546
490	26853	492
491	26905	437
492	26957	382
493	27004	327
494	27059	273
495	27116	218
496	27171	164
497	27226	109
498	27275	54
499	27327	0
